area_name,customers,customers_out,percent_out
UNION,455,388,85.27472527472527
VERNON,16461,2150,13.061174898244335
VOLUNTOWN,1326,245,18.47662141779789
WALLINGFORD,2,1,50.0
WARREN,847,834,98.46517119244392
WASHINGTON,2637,2288,86.76526355707243
WATERBURY,51881,8986,17.320406314450377
WATERFORD,9907,824,8.317351367719795
WATERTOWN,10258,2696,26.28192630142328
WEST HARTFORD,28808,10995,38.166481532907525
WESTBROOK,4671,1647,35.26011560693642
WESTON,3876,3645,94.04024767801857
WESTPORT,12633,10864,85.99699200506609
WETHERSFIELD,12664,3867,30.535375868603914
WILLINGTON,2966,1676,56.50708024275119
WILTON,7532,5517,73.24747742963356
WINCHESTER,6139,4811,78.36781234728784
WINDHAM,10316,2279,22.091896083753394
WINDSOR,13601,4702,34.570987427395046
WINDSOR LOCKS,6555,131,1.9984744469870328
WOLCOTT,7084,1672,23.60248447204969
WOODBRIDGE,28,20,71.42857142857143
WOODBURY,5202,3483,66.95501730103807
WOODSTOCK,4183,2948,70.47573511833612
